tag	count	franchises
satan (umineko)	138	umineko no naku koro ni
sazanami (swimsuit mode) (kancolle)	138	kantai collection
schierke (berserk)	138	berserk
seraphina (disgaea)	138	disgaea, makai senki disgaea 5
shigure asa	138	shuffle!
sigurd (fire emblem)	138	fire emblem, fire emblem: genealogy of the holy war
tb (azur lane)	138	azur lane
volume (nikke)	138	goddess of victory: nikke
wargreymon	138	digimon
white tiger (kemono friends)	138	kemono friends
wilderness bandit risty	138	queen's blade
yakui	138	futaba channel, nijiura maids
yanase mai	138	toji no miko
yukihira souma	138	shokugeki no souma
yumi (nt00)	138	original
akaza akane	137	yuru yuri
aldra (queen's blade)	137	queen's blade
alice (megami tensei)	137	shin megami tensei
alina clover	137	guild no uketsukejou desu ga zangyou wa iya nanode boss wo solo toubatsu shiyou to omoimasu
aoba tsugumi	137	kannagi
avicebron (fate)	137	fate (series), fate/grand order
ayatsuno yuni	137	stellive
bardiche (standby form) (nanoha)	137	lyrical nanoha
belfast (iridescent rosa) (azur lane)	137	azur lane
bicute bunnies miku (white bunny)	137	vocaloid
big sister (navigavi)	137	original
black jack (character)	137	black jack (series)
coomer (meme)	137	
dark precure	137	precure, heartcatch precure!
futami eriko	137	kimi kiss
g3 (girls' frontline)	137	girls' frontline
gipsy danger	137	pacific rim
hakos baelz (steel rose)	137	hololive, hololive english
haqua d'rot herminium	137	kami nomi zo shiru sekai
harpy (closers)	137	closers
helldiver (helldivers)	137	helldivers (series)
hiita the fire charmer	137	yu-gi-oh!
ibaraki douji's arm	137	touhou
jeff the land shark	137	marvel, marvel rivals
joshua rosfield	137	final fantasy, final fantasy xvi
kazamaki matsuri (female)	137	ayakashi triangle
king ghidorah	137	godzilla (series)
kuze masachika	137	tokidoki bosotto roshia-go de dereru tonari no alya-san
langley (path to nowhere)	137	path to nowhere
le malin (mercredi at the secret base) (azur lane)	137	azur lane
levi the slasher	137	lyrical nanoha
little boy commander (azur lane)	137	azur lane
makihara arina	137	waku waku 7
medama oyaji	137	gegege no kitarou
micro uzi (girls' frontline)	137	girls' frontline
minamoto chizuru	137	kanokon
mogador (locker room lechery) (azur lane)	137	azur lane
niimi sora	137	9-nine-
ninomae ina'nis (pastry chef)	137	hololive, hololive english
norea du noc	137	gundam, gundam suisei no majo
note-chan	137	original
oboro (taimanin asagi)	137	taimanin (series), taimanin asagi
padparadscha (houseki no kuni)	137	houseki no kuni
pinky pop hepburn	137	the moon studio
prince of lorasia	137	dragon quest, dragon quest ii
regice	137	pokemon
rivier (kuzuyu)	137	original
sasaki fuuka	137	watashi ga motenai no wa dou kangaetemo omaera ga warui!
shiromanta (character)	137	senpai ga uzai kouhai no hanashi
takanashi kiara (party dress)	137	hololive, hololive english
tenochtitlan (swimsuit mooncancer) (third ascension) (fate)	137	fate/grand order, fate (series)
terriermon	137	digimon
tougou hifumi	137	persona, persona 5
tsubaki (kunoichi tsubaki no mune no uchi)	137	kunoichi tsubaki no mune no uchi
tuxedo kamen	137	bishoujo senshi sailor moon
valerie (pokemon)	137	pokemon, pokemon xy
yamashiro kai ni (kancolle)	137	kantai collection
yuri plisetsky	137	yuri!!! on ice
admiral graf spee (peaceful daily life) (azur lane)	136	azur lane
adol christin	136	ys
alma (monster hunter wilds)	136	monster hunter (series), monster hunter wilds
commander shepard	136	mass effect (series)
courier (arknights)	136	arknights
cure aqua	136	precure, yes! precure 5
curly (mouthwashing)	136	mouthwashing
durandal (valkyrie gloria) (honkai impact)	136	honkai (series), honkai impact 3rd
dusclops	136	pokemon
edinburgh (azur lane)	136	azur lane
emerald sustrai	136	rwby
enterprise (wind catcher) (azur lane)	136	azur lane
eris (asobi ni iku yo!)	136	asobi ni iku yo!
eucliwood hellscythe	136	kore wa zombie desu ka?
falco lombardi	136	star fox, super smash bros.
frillish	136	pokemon
gabumon	136	digimon
gloire (kancolle)	136	kantai collection
grimmsnarl	136	pokemon
ground miku (project voltage)	136	pokemon, project voltage, vocaloid
hallessena	136	granblue fantasy
happy chaos	136	guilty gear, guilty gear strive
hatsune mikuo	136	vocaloid
hero (dq8)	136	dragon quest, dragon quest viii
inubouzaki fuu	136	yuuki yuuna wa yuusha de aru, yuusha de aru
itsuwa	136	toaru majutsu no index
juna crawford	136	eiyuu densetsu, sen no kiseki (series)
kotama (camp) (blue archive)	136	blue archive
leviathan (umineko)	136	umineko no naku koro ni
lilpa	136	waktaverse
luke sullivan	136	street fighter, street fighter 6
lycanroc (midday)	136	pokemon
m870 (girls' frontline)	136	girls' frontline
mienshao	136	pokemon
nakai hisao	136	katawa shoujo
nightingale (path to nowhere)	136	path to nowhere
nina kosaka (1st costume)	136	nijisanji, nijisanji en
ogawa sumireko	136	kaii to otome to kamikakushi
okita sawa	136	tari tari
peter strasser (azur lane)	136	azur lane
pomudachi (pomu rainpuff)	136	nijisanji, nijisanji en
princess tutu (character)	136	princess tutu
regigigas	136	pokemon
rinne (rinrinne)	136	rinrinne
s-head commander	136	
salazzle	136	pokemon
samurott	136	pokemon
slowbro	136	pokemon
souya agb (kancolle)	136	kantai collection
sovetskaya belorussiya (azur lane)	136	azur lane
suzuhara touji	136	neon genesis evangelion
suzuran (lostlands flowering) (arknights)	136	arknights
takamachi nanoha (sacred mode)	136	lyrical nanoha, mahou shoujo lyrical nanoha, mahou shoujo lyrical nanoha a's
tita russell	136	eiyuu densetsu, sora no kiseki
yuki miku (2015)	136	vocaloid
yveltal	136	pokemon
z1 leberecht maass (oktoberfest mode) (kancolle)	136	kantai collection
zenos yae galvus	136	final fantasy, final fantasy xiv
admiral graf spee (girl's sunday) (azur lane)	135	azur lane
akami karubi	135	indie virtual youtuber
alina (girls und panzer)	135	girls und panzer
assassin cross (ragnarok online)	135	ragnarok online
barbie (character)	135	barbie (franchise)
beanstalk (gift uncompleted) (arknights)	135	arknights
black sister	135	neptune (series)
carleen (alchemy stars)	135	alchemy stars
chatot	135	pokemon
cheetah (kemono friends)	135	kemono friends
coquelic (path to nowhere)	135	path to nowhere
dewgong	135	pokemon
drossel von flugel	135	fireball (series)
emma (nikke)	135	goddess of victory: nikke
fujimaru ritsuka (male) (summer street)	135	fate/grand order, fate (series)
geodude	135	pokemon
hodaka natsumi	135	houkago teibou nisshi
imouto-chan (monaka curl)	135	original
izumo no okuni (fate)	135	fate/grand order, fate (series)
jack atlas	135	yu-gi-oh!, yu-gi-oh! 5d's
jade (azur lane)	135	azur lane
julia chang	135	tekken
kagami kuro	135	kodomo no jikan
king k. rool	135	donkey kong (series), super smash bros., donkey kong country
kiyama harumi	135	toaru kagaku no railgun, toaru majutsu no index
konomori kanon	135	watashi ni tenshi ga maiorita!
mainz (azur lane)	135	azur lane
marisa (fire emblem)	135	fire emblem, fire emblem: the sacred stones
methode (sousou no frieren)	135	sousou no frieren
midorikawa hana	135	prison school
minfilia warde	135	final fantasy, final fantasy xiv
mysterious ranmaru x (fate)	135	fate/grand order, fate (series)
namine ritsu	135	utau
nate mitotsudaira	135	kyoukaisenjou no horizon
nogi sonoko	135	yuusha de aru
pina (blue archive)	135	blue archive
powder (arcane)	135	league of legends, arcane: league of legends
prinz eugen (profusion of flowers) (azur lane)	135	azur lane
remoraid	135	pokemon
rime (cevio)	135	cevio, kamitsubaki studio
saren (christmas) (princess connect!)	135	princess connect!
scyther	135	pokemon
selen tatsuki (2nd costume)	135	nijisanji, nijisanji en
shaddiq zenelli	135	gundam, gundam suisei no majo
sinistea	135	pokemon
sinon (solus)	135	sword art online, sword art online: alicization, sword art online: alicization - war of underworld
sita vilosa	135	sword girls
takahashi rie	135	
tuye (arknights)	135	arknights
urameshi yusuke	135	yu yu hakusho
whismur	135	pokemon
yamada asaemon sagiri	135	jigokuraku
zafira	135	lyrical nanoha
zero two (kirby)	135	kirby (series), kirby 64
zigzagoon	135	pokemon
aizen sousuke	134	bleach
anna nishikinomiya	134	shimoneta to iu gainen ga sonzai shinai taikutsu na sekai
asagiri asagi	134	disgaea
bismarck zwei (azur lane)	134	azur lane
enraku tsubakura	134	len'en
g28 (girls' frontline)	134	girls' frontline
hamburger-chan (hundredburger)	134	original
hasegawa kodaka	134	boku wa tomodachi ga sukunai
hibino kafka	134	kaijuu no. 8
high priest (arknights)	134	arknights
hilda (under night in-birth)	134	under night in-birth
hk416 (herbal-flavored hard candy) (girls' frontline)	134	girls' frontline
kaga (everlasting killing stone) (azur lane)	134	azur lane
kihel heim	134	gundam, turn a gundam
kinu (azur lane)	134	azur lane
kinukawa chinatsu	134	original
kitajima kaede	134	sono hanabira ni kuchizuke wo
kurosaki kazui	134	bleach, bleach: epilogue
lagann	134	tengen toppa gurren lagann
lanz (xenoblade)	134	xenoblade chronicles (series), xenoblade chronicles 3
little blue (guin guin)	134	kantai collection
manaka laala (normal)	134	pretty series, pripara
manticore (under a veil) (arknights)	134	arknights
maya (azur lane)	134	azur lane
mireyu	134	dragon quest, dragon quest vi
miyawaki sana	134	original
momogaa (girls und panzer)	134	girls und panzer
mona (warioware)	134	warioware
mousse (ranma 1/2)	134	ranma 1/2
nekomura iroha	134	vocaloid
newcastle (azur lane)	134	azur lane
poli (nikke)	134	goddess of victory: nikke
poliwhirl	134	pokemon
radagon of the golden order	134	elden ring
raiden mei (rainy springtide)	134	honkai (series), honkai impact 3rd
rebecca (one piece)	134	one piece
reno (ff7)	134	final fantasy, final fantasy vii
richelieu (warship girls r)	134	warship girls r
scraggy	134	pokemon
segawa onpu	134	ojamajo doremi
sein (sousou no frieren)	134	sousou no frieren
shiraishi minoru	134	lucky star
son of droid (mechanical buddy universe)	134	mechanical buddy universe
sonshoukou	134	koihime musou
spot (arknights)	134	arknights
sunflora	134	pokemon
sutera (granblue fantasy)	134	granblue fantasy
tamamo no mae (swimsuit lancer) (first ascension) (fate)	134	fate (series), fate/grand order
tikoh	134	granblue fantasy
totsuka saika	134	yahari ore no seishun lovecome wa machigatteiru.
uesaka sumire	134	
watabe koharu	134	kantai collection
winona (pokemon)	134	pokemon
yuki anju	134	love live!, love live! school idol project
aida taketo	133	kobayashi-san chi no maidragon
aisha greyrat	133	mushoku tensei
alphen (tales)	133	tales of (series), tales of arise
amemiya sekira	133	original
arunira	133	original
aurora (league of legends)	133	league of legends
ayanokouji rem	133	dream hunter rem
bhima (fate)	133	fate/grand order, fate (series)
buratei marii	133	joshiraku
camilla (tropical beauty) (fire emblem)	133	fire emblem, fire emblem fates, fire emblem heroes
daughter (yoru mac)	133	yoru mac, mcdonald's
devilot de deathsatan ix	133	cyberbots
erio mondial	133	lyrical nanoha, mahou shoujo lyrical nanoha strikers
frankenstein's monster (swimsuit saber) (second ascension) (fate)	133	fate (series), fate/grand order
ganmo (takane lui)	133	hololive
ibuki douji (swimsuit berserker) (first ascension) (fate)	133	fate/grand order, fate (series)
igarashi kyou (eroe)	133	original
imai kana	133	idolmaster, idolmaster cinderella girls
kittan bachika	133	tengen toppa gurren lagann
kurukuru (sekai seifuku)	133	sekai seifuku: bouryaku no zvezda
lloyd irving	133	tales of (series), tales of symphonia
makino yuna	133	original
master artoria	133	fate (series), capsule servant
matsumoto sarina	133	idolmaster, idolmaster cinderella girls
matsumoto yoriko	133	yuyushiki
millennium science school student (blue archive)	133	blue archive
mizuki nana	133	
mr. nothing (arknights)	133	arknights
musubi	133	sekirei
nagara (azur lane)	133	azur lane
ogami shirou	133	brand new animal
ookurikara	133	touken ranbu
ophelia (bigrbear)	133	original
ots-12 (girls' frontline)	133	girls' frontline
pachira	133	renkin san-kyuu magical pokaan
paul bunyan (third ascension) (fate)	133	fate/grand order, fate (series)
prishe	133	final fantasy, final fantasy xi
raiden mei (crimson impulse)	133	honkai (series), honkai impact 3rd
senadina (honkai impact)	133	honkai (series), honkai impact 3rd
seragaki aoba	133	dramatical murder
shishou (cookie)	133	cookie (touhou), touhou
sofia valmer	133	jormungand (manga)
stone free	133	jojo no kimyou na bouken, stone ocean
sunohara ayaka	133	sunoharasou no kanrinin-san
takahashi maya	133	amagami
tashkent (the bound cruiser) (azur lane)	133	azur lane
tearlaments scheiren	133	yu-gi-oh!
toadette	133	mario (series)
vatista (under night in-birth)	133	under night in-birth
venalita	133	mahou shoujo ni akogarete
wa2000 (date in the snow) (girls' frontline)	133	girls' frontline
yamano remon	133	ano natsu de matteru
yuitsuka inori	133	medalist (manga)
zacian	133	pokemon
admiral (warship girls r)	132	warship girls r
aegis (takunomi)	132	enjo kouhai
akame (akame ga kill!)	132	akame ga kill!
aloe (quiz magic academy)	132	quiz magic academy
arika yumemiya	132	my-otome
azusa mifuyu	132	magia record: mahou shoujo madoka magica gaiden, mahou shoujo madoka magica
buizel	132	pokemon
childhood friend (liya)	132	original
crow armbrust	132	eiyuu densetsu, sen no kiseki (series)
drowzee	132	pokemon
epona	132	the legend of zelda
eunhwa (nikke)	132	goddess of victory: nikke
executor the ex foedere (arknights)	132	arknights
furen e lustario (1st costume)	132	nijisanji
galarian zigzagoon	132	pokemon
golden hind (azur lane)	132	azur lane
grave (nikke)	132	goddess of victory: nikke
gundam aerial rebuild	132	gundam, gundam suisei no majo
hipa (some1else45)	132	original
hyuuga neji	132	naruto (series)
juujou hiyori	132	toji no miko
kako kai ni (kancolle)	132	kantai collection
kasumi (azur lane)	132	azur lane
kita hinako	132	idolmaster, idolmaster cinderella girls
kitajima sara	132	sono hanabira ni kuchizuke wo
kotoura haruka	132	kotoura-san
kuramochi meruto (1st costume)	132	nijisanji
kuroo tetsurou	132	haikyuu!!
laevatein (fire emblem)	132	fire emblem, fire emblem heroes
leavanny	132	pokemon
leo (mafuyu)	132	original
lexington (cv-16) (warship girls r)	132	warship girls r
manhattan cafe (verdant night) (umamusume)	132	umamusume
maria (fire emblem)	132	fire emblem, fire emblem: mystery of the emblem
maria renard	132	castlevania (series)
medb (swimsuit saber) (fate)	132	fate/grand order, fate (series)
medicine pocket	132	reverse:1999
mettaton ex	132	undertale
miku (lee)	132	original
monk (fft)	132	final fantasy, final fantasy tactics
multi (to heart)	132	to heart (series), to heart
murata himeko (battle storm)	132	honkai (series), honkai impact 3rd
nakiri ayame (shrine maiden)	132	hololive
nijimura okuyasu	132	jojo no kimyou na bouken, diamond wa kudakenai
otomachi una (talkex)	132	talkex, vocaloid
ppsh-41 (girls' frontline)	132	girls' frontline
romulus (fate)	132	fate (series), fate/grand order
sandrone (genshin impact)	132	genshin impact
scout (tf2)	132	team fortress 2
shiratama mikan	132	pretty series, pripara
simon belmont	132	castlevania (series)
smeargle	132	pokemon
suguri (orange juice)	132	suguri
tanaka (chainsaw man)	132	chainsaw man
tao blu (splatoon)	132	splatoon (series), splatoon 3
tayuya (naruto)	132	naruto (series), naruto
ty lee	132	avatar legends, avatar: the last airbender
wolf-chan (wataame27)	132	original
yamato iori	132	.live
yuri leclerc	132	fire emblem, fire emblem: three houses
z1 leberecht maass (azur lane)	132	azur lane
abra	131	pokemon
amano ririsa	131	2.5 jigen no ririsa
aragami oga	131	holostars
ash crimson	131	the king of fighters
aventurine (anan) (honkai: star rail)	131	honkai: star rail, honkai (series)
beldum	131	pokemon
bellezza felutia	131	original
cafe (cafe-chan to break time)	131	cafe-chan to break time
carcano m91/38 (girls' frontline)	131	girls' frontline
cheryl (pokemon)	131	pokemon, pokemon dppt
cryska barchenowa	131	muv-luv, muv-luv alternative, muv-luv total eclipse
cure yum-yum	131	delicious party precure, precure
fergus mac roich (fate)	131	fate/grand order, fate (series)
fujioka haruhi	131	ouran high school host club
greythroat (arknights)	131	arknights
gumi (v3 megpoid)	131	vocaloid
gweon sua	131	black survival, eternal return: black survival
gypsy (ragnarok online)	131	ragnarok online
heavy (tf2)	131	team fortress 2
jibanyan	131	youkai watch
kiana kaslana (divine prayer)	131	honkai (series), honkai impact 3rd
kiruko (tengoku daimakyou)	131	tengoku daimakyou
komahime (fate)	131	fate/grand order, fate (series)
kuroi nanako	131	lucky star
lambda (arknights)	131	arknights
le triomphant (azur lane)	131	azur lane
machine (nier)	131	nier:automata, nier (series)
mariah (jojo)	131	jojo no kimyou na bouken, stardust crusaders
matsubara yuuna	131	sono hanabira ni kuchizuke wo
minos (jashin-chan dropkick)	131	jashin-chan dropkick
otomore (shashaki)	131	original
ryou sakazaki	131	ryuuko no ken, the king of fighters
shunga youkyu	131	cookie (touhou), touhou
sparkle (doll) (honkai: star rail)	131	honkai (series), honkai: star rail
taiga (ookami mio)	131	hololive
togami byakuya (danganronpa 2)	131	danganronpa (series), danganronpa 2: goodbye despair
uesugi kenshin (second ascension) (fate)	131	fate/grand order, fate (series)
uxie	131	pokemon
zara due (kancolle)	131	kantai collection
aigis (persona)	130	persona, persona 3
av-98 ingram	130	kidou keisatsu patlabor
ayesha altugle	130	atelier (series), atelier ayesha
bayleef	130	pokemon
cherrim	130	pokemon
chuugoku usagi	130	voicevox
cure lemonade	130	precure, yes! precure 5
cure lillian	130	precure, wonderful precure!
cutter (arknights)	130	arknights
gale (baldur's gate)	130	baldur's gate, baldur's gate 3, dungeons & dragons
giacomo (pokemon)	130	pokemon, pokemon sv
hagimura suzu	130	seitokai yakuindomo
hakui koyori (school uniform)	130	hololive
haruka (suit) (blue archive)	130	blue archive
harukara (7th dragon)	130	7th dragon, 7th dragon (series)
hermes (ff14)	130	final fantasy, final fantasy xiv
hessian (fate)	130	fate/grand order, fate (series)
himekawa (shashaki)	130	original
inia sestina	130	muv-luv, muv-luv alternative, muv-luv total eclipse
iris wilson	130	ace attorney, the great ace attorney
iron valiant	130	pokemon
k5 (girls' frontline)	130	girls' frontline
kageyama shien	130	holostars
kamen rider faiz	130	kamen rider, kamen rider 555
kayn (league of legends)	130	league of legends
kyle broflovski	130	south park
lan hikari (mega man)	130	mega man (series), mega man battle network (series)
little cocon (umamusume)	130	umamusume
maetel	130	ginga tetsudou 999
marnie (summer 2021) (pokemon)	130	pokemon, pokemon masters ex
master nemesis	130	to love-ru, to love-ru darkness
mega charizard x	130	pokemon
metapod	130	pokemon
mochi (ebihara beniko)	130	original
momo-chan (dagasi)	130	original
moomintroll	130	moomin
nameless king	130	dark souls (series), dark souls iii
nina (breath of fire v)	130	breath of fire, breath of fire v
nyubara reona	130	bang dream!
passionlip (third ascension) (fate)	130	fate (series), fate/grand order, fate/extra
ping hai (summer vacation) (azur lane)	130	azur lane
ronye arabel	130	sword art online, sword art online: alicization
sawai natsuha	130	monobeno
seaport water oni	130	kantai collection
shirai hinako	130	blue reflection (series), blue reflection maboroshi ni mau shoujo no ken
shiraishi yoshitake	130	golden kamuy
t-800	130	terminator (series)
tibbers	130	league of legends
u-official (arknights)	130	arknights
vegapunk lilith	130	one piece
viktoriya ivanovna serebryakov	130	youjo senki
yamada hifumi	130	danganronpa (series), danganronpa: trigger happy havoc
abarai renji	129	bleach
aesc (savior) (fate)	129	fate/grand order, fate (series)
aizono manami	129	nijisanji
ajiro shinpei	129	summertime render
alex (street fighter)	129	street fighter
blue rose (tiger & bunny)	129	tiger & bunny
chie (ishikei)	129	original
cosmo (chainsaw man)	129	chainsaw man
cosmos (wuthering waves)	129	wuthering waves
cucco	129	the legend of zelda
dan feng (honkai: star rail)	129	honkai: star rail, honkai (series)
data (mega man)	129	mega man (series), mega man legends (series)
elma leivonen	129	world witches series, strike witches: suomus misfits squadron
galarian rapidash	129	pokemon
gullveig (fire emblem)	129	fire emblem, fire emblem heroes
hitori bocchi	129	hitoribocchi no marumaru seikatsu
ichigo (mignon)	129	original
ikuno (darling in the franxx)	129	darling in the franxx
iori shirou	129	kill la kill
iwato suzume	129	suzume no tojimari
kamisaki hikaru	129	medalist (manga)
kotonomiya yuki	129	suigetsu
ksvk (girls' frontline)	129	girls' frontline
kusakabe satsuki	129	tonari no totoro
lanturn	129	pokemon
liv: eclipse (pgr)	129	punishing: gray raven
louise halevy	129	gundam, gundam 00
luis cammy	129	nijisanji
luna (konosuba)	129	kono subarashii sekai ni shukufuku wo!
lyza (made in abyss)	129	made in abyss
mako (azuumori)	129	original
mifune fumiko	129	chainsaw man
mochizuki momiji	129	new game!
murasaki shion (magical girl maid)	129	hololive
na'el (xenoblade)	129	xenoblade chronicles (series), xenoblade chronicles 3, xenoblade chronicles 3: future redeemed
naked snake	129	metal gear (series)
natasha (honkai: star rail)	129	honkai: star rail, honkai (series)
needle knight leda	129	elden ring, elden ring: shadow of the erdtree
noshiro (swimsuit mode) (kancolle)	129	kantai collection
oda nanami	129	sono hanabira ni kuchizuke wo
oribe tsubasa	129	fire emblem, tokyo mirage sessions fe
ots-14 (sangria succulent) (girls' frontline)	129	girls' frontline
panther chameleon (kemono friends)	129	kemono friends
paseri (cookie)	129	cookie (touhou), touhou
rebecca (fire emblem)	129	fire emblem, fire emblem: the blazing blade
revenant (apex legends)	129	apex legends
ryugasaki rene (2nd costume)	129	nanashi inc., sugar lyric
sadamori himeka	129	assault lily
sagara sousuke	129	full metal panic!
sanka rea	129	sankarea
securityboo (zenless zone zero)	129	zenless zone zero
seo yuzuki	129	gekkan shoujo nozaki-kun
shingyoku (male)	129	touhou, touhou (pc-98)
shylily (1st costume)	129	indie virtual youtuber
swadloon	129	pokemon
talulah the fighter (arknights)	129	arknights
tanigawa yuzu	129	devil survivor
todoroki touya	129	boku no hero academia
tom nook (animal crossing)	129	animal crossing
tsukamoto yakumo	129	school rumble
ursula (takunomi)	129	enjo kouhai
ushiromiya lion	129	umineko no naku koro ni
vanilla the rabbit	129	sonic (series)
vf-25	129	macross, macross frontier
viridi	129	kid icarus, kid icarus uprising
yukari (princess connect!)	129	princess connect!
yukico-tan	129	yukijirushi
acolyte (ragnarok online)	128	ragnarok online
aikawa megumi	128	heaven burns red
ange katrina (5th costume)	128	nijisanji
anneliese	128	kimagure temptation
ashikaga chachamaru	128	soukou akki muramasa
ayumu (blue archive)	128	blue archive
chuchu (show by rock!!)	128	show by rock!!
cynthia (fire emblem)	128	fire emblem, fire emblem awakening
diluc (red dead of night) (genshin impact)	128	genshin impact
elena olegovna owen	128	dracu-riot!
enomoto takane	128	kagerou project
evil eye sigma	128	touhou, touhou (pc-98)
florence nightingale (santa) (fate)	128	fate/grand order, fate (series)
flower (vocaloid3)	128	vocaloid
futaba riho	128	dream c club, dream c club (series)
hippogriff (fate)	128	fate (series)
hu-li the jewel mikanko	128	yu-gi-oh!
itou nobue	128	ichigo mashimaro
izanagi (persona 4)	128	persona, persona 4
izumi reina	128	musaigen no phantom world
javelin (beach picnic!) (azur lane)	128	azur lane
jiraiya (naruto)	128	naruto (series)
kamen rider build	128	kamen rider, kamen rider build (series)
kamen rider double	128	kamen rider, kamen rider w
kawai rie	128	lovers (game)
kiana kaslana (valkyrie ranger)	128	honkai (series), honkai impact 3rd
kingu (fate)	128	fate (series), fate/grand order
kuraki suzuna	128	kao no nai tsuki
lilique kadoka lipati	128	gundam, gundam suisei no majo
mankanshoku sukuyo	128	kill la kill
marco polo (azur lane)	128	azur lane
mewo	128	omori
millium orion	128	eiyuu densetsu, sen no kiseki (series)
momone momo	128	utau
murakumo (senran kagura)	128	senran kagura
nel (fire emblem)	128	fire emblem, fire emblem engage
oscar francois de jarjayes	128	versailles no bara
owari (shimmering forsythia) (azur lane)	128	azur lane
politoed	128	pokemon
rellana twin moon knight	128	elden ring, elden ring: shadow of the erdtree
rico (mega man)	128	mega man (series), mega man x (series), mega man x dive
selesia upitiria	128	re:creators
shiro (mignon)	128	original
star guardian ahri	128	league of legends
tachibana kimika	128	subarashiki hibi
takamori haruka	128	choukou (alicesoft), choukou sennin haruka
tayelle ebonclaw	128	final fantasy, final fantasy xiv
ushiromiya george	128	umineko no naku koro ni
van gogh (second ascension) (fate)	128	fate/grand order, fate (series)
yama raja (elsword)	128	elsword
yamato suzuran	128	suigetsu
zen'in mai	128	jujutsu kaisen
zeri (league of legends)	128	league of legends
akatsuki miho	127	akemiho tabi nikki, gendai ninjakko zukan
akebono (swimsuit mode) (kancolle)	127	kantai collection
ako (track) (blue archive)	127	blue archive
amahane madoka	127	aikatsu!, aikatsu! (series)
an-an lee	127	reverse:1999
andira (summer) (granblue fantasy)	127	granblue fantasy
anne bonny (swimsuit archer) (fate)	127	fate/grand order, fate (series)
anubis (houtengeki)	127	original
aron	127	pokemon
ash (fire emblem)	127	fire emblem, fire emblem heroes
ayasaki hayate	127	hayate no gotoku!
bracelet girls	127	yu-gi-oh!, yu-gi-oh! arc-v
camazotz (fate)	127	fate/grand order, fate (series)
chat noir	127	miraculous ladybug
cnoc na riabh (fate)	127	fate/grand order, fate (series)
cow girl (goblin slayer!)	127	goblin slayer!
cresselia	127	pokemon
dazai osamu (bungou stray dogs)	127	bungou stray dogs
erica fontaine	127	sakura taisen, sakura taisen iii
firion	127	final fantasy, final fantasy ii
fuyou kaede	127	shuffle!
grovyle	127	pokemon
hanazono hahari	127	kimi no koto ga dai dai dai dai daisuki na 100-nin no kanojo
helena douglas	127	dead or alive
hiuchidani mei	127	cafe stella to shinigami no chou
hiyori (princess connect!)	127	princess connect!
howe (azur lane)	127	azur lane
isla (plastic memories)	127	plastic memories
kaname madoka (sexy madoka)	127	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
kirara (arknights)	127	arknights
kusunoki midori	127	higanbana no saku yoru ni
lakitu	127	mario (series)
lavenza (persona 5)	127	persona, persona 5
lillia (league of legends)	127	league of legends
maaryan (to heart)	127	to heart (series), to heart 2
mareanie	127	pokemon
mega mawile	127	pokemon
nina (breath of fire iv)	127	breath of fire, breath of fire iv
nina (thief) (fire emblem)	127	fire emblem, fire emblem fates, fire emblem heroes
oda kippoushi (fate)	127	fate/grand order, fate (series)
osakabehime (swimsuit archer) (second ascension) (fate)	127	fate/grand order, fate (series)
ouro kronii (new year)	127	hololive, hololive english
quistis trepe	127	final fantasy, final fantasy viii
rapi (classic vacation) (nikke)	127	goddess of victory: nikke
reki (haibane)	127	haibane renmei
romulus quirinus (fate)	127	fate/grand order, fate (series)
rukawa kaede	127	slam dunk (series)
ryuk	127	death note
sakenomi (cookie)	127	cookie (touhou), touhou
shisui kiki	127	nanashi inc.
skadi (the next afternoon tea) (arknights)	127	arknights
surge (pokemon)	127	pokemon
ushimi ichigo	127	nijisanji
vira (summer) (granblue fantasy)	127	granblue fantasy
warwick	127	league of legends
yamask	127	pokemon
yurizaki mira	127	dimension w
zaraki kenpachi	127	bleach
zuko	127	avatar legends, avatar: the last airbender
admiral nakhimov (azur lane)	126	azur lane
aisha clanclan	126	outlaw star
anemo nemo	126	mahou shoujo ni akogarete
arabian oryx (kemono friends)	126	kemono friends
avrora (azur lane)	126	azur lane
buddha	126	
combee	126	pokemon
cool (gundam suisei no majo)	126	gundam, gundam suisei no majo
cure parfait	126	kirakira precure a la mode, precure
diola (granblue fantasy)	126	granblue fantasy
dorothea arnault (plegian)	126	fire emblem, fire emblem heroes
elfilin	126	kirby (series)
family computer robot	126	super smash bros., metroid
gager (girls' frontline)	126	girls' frontline
ganesha (fate)	126	fate (series), fate/grand order
haruna (aoki hagane no arpeggio)	126	aoki hagane no arpeggio
hijikata toushirou	126	gintama
hitou nami	126	sayonara zetsubou sensei
houshou marine (8th costume)	126	hololive
hydrapple	126	pokemon, pokemon sv
ichinose uruha (6th costume)	126	vspo!
jeff andonuts	126	mother (series), mother 2
jk-chan (oouso)	126	original
kafka (arknights)	126	arknights
kagamine rin (append)	126	vocaloid
katou umi	126	summer pockets
kazooie (banjo-kazooie)	126	banjo-kazooie
kotetsu isane	126	bleach
kuronuma sawako	126	kimi ni todoke
kushida kikyou	126	youkoso jitsuryoku shijou shugi no kyoushitsu e
mankanshoku matarou	126	kill la kill
marikawa shizuka	126	highschool of the dead
matsuoka rin	126	free!
miyake hinata	126	sora yori mo tooi basho
momo (kancolle)	126	kantai collection
musume (yuunama)	126	yuusha no kuse ni namaiki da, v yuusha no kuse ni namaiki da r
nagatsuki sanae	126	shinryaku! ikamusume
