tag	count
no game no life	1174
aria (manga)	1171
mother (series)	1168
nier	1167
the legend of zelda: a link between worlds	1163
cookie run	1158
armored core	1157
hayate no gotoku!	1156
mahou girls precure!	1154
the ring	1152
idolmaster 2	1143
vividred operation	1137
choujigen game neptune	1131
fuwa fuwa cinnamoroll	1131
healin' good precure	1129
keroro gunsou	1129
jashin-chan dropkick	1120
maplestory	1119
the legend of zelda: skyward sword	1118
blend s	1115
superman (series)	1114
death note	1112
brown dust 2	1111
kyoukaisenjou no horizon	1108
fate/grand order arcade	1106
adventure time	1101
holostars english	1101
final fantasy vii advent children	1099
breath of fire	1098
world flipper	1095
yuuki yuuna wa yuusha de aru	1092
love live! school idol festival all stars	1089
ado (utaite)	1088
elden ring: shadow of the erdtree	1087
macross delta	1086
shoujo shuumatsu ryokou	1086
epic seven	1082
makai senki disgaea	1082
yotsubato!	1082
mahou shoujo lyrical nanoha vivid	1079
digimon adventure	1063
idolmaster cinderella girls u149	1063
dead or alive 5	1059
non non biyori	1059
puchimasu!	1059
monster hunter: world	1058
poptepipic	1058
shining (series)	1053
dorohedoro	1049
fushigi no umi no nadia	1049
spider-man: into the spider-verse	1048
soulworker	1046
the king of fighters xv	1046
strike witches: suomus misfits squadron	1045
toji no miko	1044
pokemon lgpe	1041
katawa shoujo	1037
final fantasy vii ever crisis	1033
taimanin asagi	1031
the amazing digital circus	1030
black clover	1027
senran kagura new wave	1026
tamako market	1026
dog days	1025
the legend of zelda: the wind waker	1025
haikyuu!!	1020
waktaverse	1020
haiyore! nyaruko-san	1019
ssss.dynazenon	1018
slayers	1011
spider-man: across the spider-verse	1010
street fighter iii (series)	1009
liz to aoi tori	1008
team fortress 2	1008
girls und panzer senshadou daisakusen!	1005
nisekoi	1005
summon night	1002
inazuma eleven	1000
kimi no koto ga dai dai dai dai daisuki na 100-nin no kanojo	996
senren banka	984
overwatch 2	983
serial experiments lain	983
lupinus virtual games	982
hellsing	981
idolmaster dearly stars	980
toaru majutsu no index: old testament	980
idolmaster side-m	979
sekai seifuku: bouryaku no zvezda	975
re:stage!	974
azur lane: slow ahead	973
hazbin hotel	972
call of duty: modern warfare 2	969
final fantasy xvi	969
nintendo	968
the legend of korra	961
violet evergarden (series)	959
yu-gi-oh! arc-v	956
final fantasy viii	954
mega man battle network (series)	952
blade & soul	950
monster musume no iru nichijou online	949
fate/unlimited codes	948
girlfriend (kari)	947
dragalia lost	945
starbucks	944
kimi no na wa.	942
my-hime	942
youtube	941
metal slug	940
warioware	939
kino no tabi	937
shironeko project	937
mob psycho 100	936
g gundam	932
gakkou gurashi!	929
metal gear solid	922
youjo senki	922
busou shinki	915
arcana heart	913
durarara!!	913
tales of the abyss	913
youkoso jitsuryoku shijou shugi no kyoushitsu e	912
majo no takkyuubin	911
char's counterattack	910
dairoku ryouhei	910
dream c club (series)	907
hades (series)	907
mesmerizer (vocaloid)	902
gundam build divers	900
ryuu ga gotoku (series)	900
futaba channel	899
ryuuko no ken	896
street fighter ii (series)	893
lord of the mysteries	890
doraemon	889
final fantasy xv	887
brand new animal	886
ib (kouri)	886
koutetsujou no kabaneri	886
trigun	882
kannagi	880
magi the labyrinth of magic	880
strike the blood	879
cowboy bebop	875
suzumiya haruhi no shoushitsu	873
ganbare douki-chan	871
kami jigen game neptune v	864
unfinished dream of all living ghost	864
aikatsu stars!	863
dream c club	863
super real mahjong	863
comiket 103	860
youkai watch	860
avatar: the last airbender	854
splatoon 2: octo expansion	853
comiket 102	850
quiz magic academy	847
beatmania (series)	846
beatmania iidx	846
newtype	845
battle tendency	844
the king of fighters xiv	843
chrono trigger	842
valorant	838
gekkan shoujo nozaki-kun	837
destiny child	836
musaigen no phantom world	836
eureka seven (series)	834
uchi no hime-sama ga ichiban kawaii	834
persona 3 reload	833
scott pilgrim takes off	833
hacka doll	832
tales of zestiria	832
uchuu senkan yamato	832
comiket 105	828
disney	826
metaphor: refantazio	826
danganronpa 3 (anime)	824
hello kitty	823
ark order	822
osomatsu (series)	821
iris black games	820
transformers: generation 1	820
luo xiaohei zhanji	817
nanatsu no taizai	817
studio ghibli	817
super sentai	816
comiket 104	815
world trigger	815
deltarune	814
rakuen tsuihou	814
taimanin yukikaze	811
tales of symphonia	811
final fantasy xii	804
inazuma eleven go	803
the legend of zelda: majora's mask	803
toaru majutsu no index: new testament	802
ar tonelico	800
tensei oujo to tensai reijou no mahou kakumei	799
phantom of the kill	798
signalis	796
arknights: endfield	795
atelier ryza 2	795
himouto! umaru-chan	794
mega man zx advent	794
tales of berseria	794
devil may cry 5	793
yuuki bakuhatsu bang bravern	793
maoyuu maou yuusha	792
osomatsu-san	792
final fantasy xiii	791
kami nomi zo shiru sekai	790
million arthur (series)	788
resident evil 4 (remake)	788
unicorn overlord	787
cafe stella to shinigami no chou	785
dragon quest viii	784
toaru kagaku no railgun t	784
bishoujo senshi sailor moon stars	783
witches of africa	781
high school dxd born	780
riddle joker	780
air (visual novel)	777
owari no seraph	777
sewayaki kitsune no senko-san	776
d4dj	774
shinkai no valkyrie	774
touhou cannonball	774
en'en no shouboutai	773
little witch nobeta	773
mario kart	773
guardian tales	772
aa megami-sama	768
alien stage	767
manatsu no yo no inmu	767
pokemon rse (anime)	767
dota (series)	766
drag-on dragoon	765
odin sphere	765
toaru kagaku no mental out	762
eureka seven	761
fallout (series)	760
akame ga kill!	758
black souls	758
fate/strange fake	757
highschool of the dead	757
piapro	757
dota 2	753
saga	753
gridman universe (film)	751
mother 2	751
capcom	750
subterranean animism	750
dragon ball super broly	747
honey strap	747
galaxy angel	745
gundam wing	744
paper mario	744
funamusea	743
mikakunin de shinkoukei	743
kusuriya no hitorigoto	741
pangya	740
kizumonogatari	739
nijisanji kr	739
noble witches	738
22/7	734
doom (series)	734
powerpuff girls	731
shoujo kakumei utena	731
sora no kiseki	731
sono hanabira ni kuchizuke wo	729
pokemon emerald	728
lupin iii	727
yagate kimi ni naru	724
gundam seed freedom	722
kuro no kiseki i	720
tenshi souzou re-boot!	720
capcom fighting jam	718
soukou akki muramasa	718
to heart	718
one piece film: red	717
xenogears	717
flcl	716
kidou senkan nadesico	714
sanoba witch	714
ichigo mashimaro	712
7th dragon (series)	711
